model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost_r69_BAG_L1,-0.3057330921123355,-0.31035769169667976,root_mean_squared_error,0.01009225845336914,0.00694584846496582,1.5183794498443604,0.01009225845336914,0.00694584846496582,1.5183794498443604,1,True,33
NeuralNetFastAI_r160_BAG_L1,-0.30628754441068545,-0.3079939928011198,root_mean_squared_error,0.11607885360717773,0.09420418739318848,5.070493459701538,0.11607885360717773,0.09420418739318848,5.070493459701538,1,True,75
LightGBM_r96_BAG_L1,-0.3068050435348715,-0.3094274084298006,root_mean_squared_error,0.024602174758911133,0.03625226020812988,1.0413756370544434,0.024602174758911133,0.03625226020812988,1.0413756370544434,1,True,15
XGBoost_r89_BAG_L1,-0.3068458670974962,-0.31383289588337043,root_mean_squared_error,0.03213357925415039,0.02428269386291504,0.9031033515930176,0.03213357925415039,0.02428269386291504,0.9031033515930176,1,True,25
CatBoost_r60_BAG_L1,-0.3068876742579881,-0.31066550769659973,root_mean_squared_error,0.016731977462768555,0.006956338882446289,2.009155511856079,0.016731977462768555,0.006956338882446289,2.009155511856079,1,True,76
NeuralNetFastAI_r156_BAG_L1,-0.3069756310146854,-0.3118888227080777,root_mean_squared_error,0.24876689910888672,0.1636214256286621,10.421382427215576,0.24876689910888672,0.1636214256286621,10.421382427215576,1,True,39
LightGBM_r94_BAG_L1,-0.30702300061302146,-0.30928591259845195,root_mean_squared_error,0.02964019775390625,0.019362211227416992,1.1154484748840332,0.02964019775390625,0.019362211227416992,1.1154484748840332,1,True,57
CatBoost_r163_BAG_L1,-0.3070310785987033,-0.31104721226422527,root_mean_squared_error,0.010294675827026367,0.007997274398803711,1.3284423351287842,0.010294675827026367,0.007997274398803711,1.3284423351287842,1,True,98
LightGBM_r42_BAG_L1,-0.30722251758556696,-0.3081083596203627,root_mean_squared_error,0.009724617004394531,0.010910749435424805,1.3775622844696045,0.009724617004394531,0.010910749435424805,1.3775622844696045,1,True,104
CatBoost_r177_BAG_L1,-0.3073803050274431,-0.3113255214973664,root_mean_squared_error,0.015990734100341797,0.009810924530029297,1.9164531230926514,0.015990734100341797,0.009810924530029297,1.9164531230926514,1,True,10
WeightedEnsemble_L2,-0.30747117806625385,-0.3019733851751178,root_mean_squared_error,0.30402255058288574,0.23220467567443848,23.30133605003357,0.002573728561401367,0.0002300739288330078,0.010515213012695312,2,True,107
NeuralNetFastAI_r37_BAG_L1,-0.30757062367884,-0.30836282993856823,root_mean_squared_error,0.14062285423278809,0.0691370964050293,4.879763841629028,0.14062285423278809,0.0691370964050293,4.879763841629028,1,True,49
CatBoost_r70_BAG_L1,-0.3075813197713107,-0.3121155129484548,root_mean_squared_error,0.020193099975585938,0.011853456497192383,4.124557971954346,0.020193099975585938,0.011853456497192383,4.124557971954346,1,True,38
LightGBM_r30_BAG_L1,-0.30772256950670157,-0.30880941748019847,root_mean_squared_error,0.03558683395385742,0.0330500602722168,1.872528076171875,0.03558683395385742,0.0330500602722168,1.872528076171875,1,True,65
NeuralNetFastAI_r111_BAG_L1,-0.30772900175356094,-0.31060353993108397,root_mean_squared_error,0.16739559173583984,0.12384796142578125,9.72059440612793,0.16739559173583984,0.12384796142578125,9.72059440612793,1,True,60
NeuralNetFastAI_r102_BAG_L1,-0.3077321626199792,-0.30953700886660895,root_mean_squared_error,0.1581861972808838,0.12649321556091309,10.096530675888062,0.1581861972808838,0.12649321556091309,10.096530675888062,1,True,20
LightGBM_r196_BAG_L1,-0.30782726735195726,-0.30907215345416017,root_mean_squared_error,0.12616515159606934,0.08090662956237793,4.877304315567017,0.12616515159606934,0.08090662956237793,4.877304315567017,1,True,40
CatBoost_r50_BAG_L1,-0.307828803189284,-0.3109611402252992,root_mean_squared_error,0.012152910232543945,0.009896278381347656,1.6009156703948975,0.012152910232543945,0.009896278381347656,1.6009156703948975,1,True,29
CatBoost_r143_BAG_L1,-0.3078329072515617,-0.31097082814114074,root_mean_squared_error,0.014312028884887695,0.01119852066040039,3.572330951690674,0.014312028884887695,0.01119852066040039,3.572330951690674,1,True,70
CatBoost_r137_BAG_L1,-0.30783680339771785,-0.3111934887433536,root_mean_squared_error,0.010667800903320312,0.0072515010833740234,2.056851863861084,0.010667800903320312,0.0072515010833740234,2.056851863861084,1,True,19
CatBoost_r49_BAG_L1,-0.3078457855217324,-0.3118050582794174,root_mean_squared_error,0.014987945556640625,0.007363080978393555,1.2787556648254395,0.014987945556640625,0.007363080978393555,1.2787556648254395,1,True,51
CatBoost_r180_BAG_L1,-0.307933038963016,-0.31287723942150325,root_mean_squared_error,0.016530752182006836,0.010444164276123047,5.736790895462036,0.016530752182006836,0.010444164276123047,5.736790895462036,1,True,85
CatBoost_r198_BAG_L1,-0.3080442998215369,-0.31117160815290723,root_mean_squared_error,0.008670568466186523,0.008512735366821289,2.435427665710449,0.008670568466186523,0.008512735366821289,2.435427665710449,1,True,99
LightGBM_r188_BAG_L1,-0.30807363165373464,-0.3103977887800563,root_mean_squared_error,0.03500199317932129,0.015394210815429688,2.2346670627593994,0.03500199317932129,0.015394210815429688,2.2346670627593994,1,True,23
CatBoost_r5_BAG_L1,-0.3083669689882515,-0.310623383742352,root_mean_squared_error,0.015500545501708984,0.006911039352416992,1.6459219455718994,0.015500545501708984,0.006911039352416992,1.6459219455718994,1,True,67
XGBoost_r49_BAG_L1,-0.3084730072067359,-0.31475082302260177,root_mean_squared_error,0.05711698532104492,0.028860807418823242,1.8505840301513672,0.05711698532104492,0.028860807418823242,1.8505840301513672,1,True,66
NeuralNetFastAI_r11_BAG_L1,-0.3084901332034054,-0.30614515231794875,root_mean_squared_error,0.10393595695495605,0.11219596862792969,9.142990589141846,0.10393595695495605,0.11219596862792969,9.142990589141846,1,True,30
CatBoost_r167_BAG_L1,-0.3085158454913966,-0.3108460515756089,root_mean_squared_error,0.010475873947143555,0.010573148727416992,3.2230963706970215,0.010475873947143555,0.010573148727416992,3.2230963706970215,1,True,42
NeuralNetFastAI_r187_BAG_L1,-0.30852422422318254,-0.3061415798295917,root_mean_squared_error,0.04714226722717285,0.06556987762451172,4.095152139663696,0.04714226722717285,0.06556987762451172,4.095152139663696,1,True,100
CatBoost_BAG_L1,-0.30855883493148817,-0.311418666860777,root_mean_squared_error,0.018540143966674805,0.009990692138671875,2.2867672443389893,0.018540143966674805,0.009990692138671875,2.2867672443389893,1,True,4
CatBoost_r9_BAG_L1,-0.3086650673970304,-0.3110016642943267,root_mean_squared_error,0.02205967903137207,0.01260828971862793,9.558089971542358,0.02205967903137207,0.01260828971862793,9.558089971542358,1,True,14
