,method,n_features,selected_features,rmse_mean,rmse_std,r2_mean,r2_std,alpha
14,RFE,15,"['PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'TAXA_OCUP_MASC', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33885666159266986,0.010086626332380466,0.0992186779366506,0.05501068886753662,
31,RFS_forward,10,"['PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'COBERTURA_CRECHE_0_3', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'TAXA_OCUP_MASC', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33896518082098764,0.008512358972224607,0.09853438724997174,0.05302205491620335,
54,Lasso,10,"['PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'COBERTURA_CRECHE_0_3', 'MEDIA_MAT_0_3_POR_ESCOLA', 'TAXA_OCUP_MASC', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.3389783606478501,0.0075090283785443366,0.09889301772000032,0.04217850384671371,0.018873918221350976
12,RFE,13,"['PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'LOG_POP_TOTAL', 'TAXA_OCUP_MASC', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.3390251300771488,0.010007921884100188,0.09832075269664224,0.05486586983922239,
50,Lasso,16,"['PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'LOG_POP_TOTAL', 'PIB_PC', 'LOG_PIB_PC', 'TAXA_OCUP_MASC', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33908855724117276,0.00970417369696583,0.09795931719444924,0.05446325008450337,0.0028072162039411755
9,RFE,10,"['PROP_ESC_URBANA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'COBERTURA_CRECHE_0_3', 'LOG_POP_TOTAL', 'TAXA_OCUP_MASC', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO']",0.3390965091196726,0.008795500625985693,0.09790208798124603,0.052801798935242734,
15,RFE,16,"['PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'TAXA_OCUP_MASC', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33910632036356786,0.009995736845853944,0.0978905475807655,0.05485530265571696,
41,RFS_forward,20,"['PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'LOG_PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_MAES_JOVENS', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33913977330896916,0.009409887261404714,0.09780687439435876,0.051707472106435906,
37,RFS_forward,16,"['PROP_ESC_URBANA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'TAXA_OCUP_MASC', 'PROP_MAES_JOVENS', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33915675902295445,0.008666674693481249,0.0977392241600247,0.04936297830518239,
40,RFS_forward,19,"['PROP_ESC_URBANA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'LOG_PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_MAES_JOVENS', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33918800603363347,0.00939272675839159,0.09756169998959326,0.05147364839077516,
