rmse,mae,r2,fold
0.30813387995344227,0.24854440794151872,0.2326084318924071,1
0.3137600753180787,0.246243938627298,0.18724816930134114,2
0.31903124773975483,0.249864153854687,0.1690356099569924,3
0.31856033490472735,0.2514655762321653,0.2206312932747081,4
0.3361363821188478,0.2662168931716704,0.19743548657655352,5
