model_name,rmse,mae,r2,type
stacking_ridge,0.3048768873679443,0.24261221624343426,0.2791106611119005,ensemble
simple_average,0.30559916159262895,0.24567323587947493,0.27569094270774697,ensemble
xgboost,0.30660391864784853,0.2479917204314858,0.2709203078853041,base_model
random_forest,0.30838960803110793,0.2494952543260065,0.2624031232854743,base_model
lightgbm,0.3086133144309737,0.2497249175295957,0.26133262684160585,base_model
catboost,0.3088649250289108,0.24963988179043903,0.26012767362275413,base_model
mlp,0.31246597216599703,0.24405436453632176,0.24277480191971634,base_model
