model_name,rmse,mae,r2,type
stacking_ridge,0.3285386160616221,0.2748231740186795,0.16287088669644645,ensemble
simple_average,0.32926830176921923,0.27716405963104035,0.15914822238892612,ensemble
lightgbm,0.3303747207848145,0.27627193047243065,0.15348780829901065,base_model
xgboost,0.33216983132400285,0.2789300237460113,0.14426366835825521,base_model
random_forest,0.3328680162989257,0.28179070784241483,0.14066255776189296,base_model
catboost,0.3329306217055354,0.27771625834946556,0.140339281108129,base_model
mlp,0.3333102553216182,0.2772873335787891,0.13837765814858316,base_model
