feature,mean_abs_shap
SG_UF,0.10901876722871469
COBERTURA_CRECHE_0_3,0.04028036803830499
LOG_POP_TOTAL,0.015724567574551863
PROP_ESC_PUBLICA,0.01273317093476277
PROP_MAT_PRETA,0.01021190314874405
IDH_EXPECT_ANOS_ESTUDO,0.009686387023633627
RENDA_MEDIANA_RESPONSAVEL,0.00821750422416905
TAXA_OCUP_MASC,0.007920380414411874
IDH_RAZAO_DEPENDENCIA,0.007824862455442293
ESCOLAS_CRECHE_POR_1000_CRIAN,0.005423569451857087
TAXA_OCUP_FEM,0.005334377448676882
MEDIA_MAT_0_3_POR_ESCOLA,0.004913684720384549
IDH_PROP_POBREZA_CRIANCAS,0.003553077294927312
PROP_ESC_URBANA,0.0029401444171154724
PROP_MAT_BRANCA,0.0024960929671369444
PROP_MAT_INDIGENA,0.0015187073465891322
PROP_MAT_PARDA,0.0014360894673953336
PIB_PC,0.0011169618464286616
IDH_GINI,0.0010799237783586835
PERC_RENDA_OUTRAS_FONTES,0.0009693959971376651
PROP_DOM_SEM_CONJUGE_MULHER,0.0008638194573507495
PROP_MAES_JOVENS,0.0006744519814109053
LOG_PIB_PC,0.00016119849347461147
