NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;TAXA_CRE_INT;PROP_ESC_PUBLICA;PROP_ESC_URBANA;PROP_MAT_BRANCA;PROP_MAT_PRETA;PROP_MAT_PARDA;PROP_MAT_INDIGENA;COBERTURA_CRECHE_0_3;ESCOLAS_CRECHE_POR_1000_CRIAN;MEDIA_MAT_0_3_POR_ESCOLA;LOG_POP_TOTAL;PIB_PC;LOG_PIB_PC;TAXA_OCUP_FEM;TAXA_OCUP_MASC;PROP_MAES_JOVENS;PROP_DOM_SEM_CONJUGE_MULHER;PERC_RENDA_OUTRAS_FONTES;RENDA_MEDIANA_RESPONSAVEL;IDH_PROP_POBREZA_CRIANCAS;IDH_GINI;IDH_EXPECT_ANOS_ESTUDO;IDH_RAZAO_DEPENDENCIA
2022;2208007;Picos;PI;0.000849;0.796117;0.68932;0.426964;0.022793;0.544908;0.000873;0.207416;19.89185;10;11.327692;26098.59;10.169675;0.411901;0.62421;0.010667;0.159434;28.63;1212.0;27.46;0.56;9.48;44.01
2022;2208106;Pimenteiras;PI;0.0;0.962963;0.296296;0.289206;0.033605;0.670061;0.001018;0.239888;37.656904;6;9.336268;9860.86;9.19643;0.24044;0.433966;0.019373;0.109508;56.64;1200.0;68.9;0.57;8.39;57.66
2022;2208205;Pio IX;PI;0.0;0.947368;0.289474;0.213193;0.023423;0.744025;0.000239;0.292058;32.450897;9;9.776449;12483.45;9.432239;0.382661;0.530413;0.014555;0.136796;51.23;1100.0;64.81;0.56;9.42;54.14
2022;2208304;Piracuruca;PI;0.03937;0.833333;0.7;0.190735;0.012104;0.795075;0.000417;0.187361;16.629712;11;10.269761;14157.94;9.558102;0.266907;0.530118;0.013152;0.159948;44.51;1200.0;55.38;0.54;9.31;53.35
2022;2208403;Piripiri;PI;0.124525;0.931373;0.480392;0.28;0.03233;0.659351;0.027021;0.223433;24.691358;9;11.090401;15774.56;9.666217;0.339394;0.552223;0.00839;0.172128;36.13;1212.0;44.65;0.55;9.96;52.82
2022;2208502;Porto;PI;0.001613;0.939394;0.333333;0.062227;0.04271;0.890011;0.00023;0.4567;30.082042;15;9.397069;11550.37;9.354559;0.240945;0.399105;0.030513;0.152753;50.64;1100.0;60.84;0.57;8.06;68.99
2022;2208601;Prata do Piauí;PI;0.0;1.0;0.5;0.151589;0.022005;0.816626;0.0;0.292308;71.794872;4;8.020599;11269.89;9.329978;0.28871;0.428453;0.012128;0.137489;58.64;1212.0;71.39;0.54;9.04;63.14
2022;2208650;Queimada Nova;PI;1.0;1.0;0.4;0.303953;0.282566;0.3221;0.006481;0.172023;18.903592;9;9.075551;29351.45;10.287131;0.209205;0.38736;0.014085;0.107564;53.21;1212.0;68.81;0.53;7.57;54.0
2022;2208700;Redenção do Gurguéia;PI;0.008658;0.875;0.5625;0.052834;0.108069;0.823247;0.001441;0.296919;22.408964;13;9.035392;13410.89;9.503897;0.296556;0.436917;0.045093;0.125871;48.68;1200.0;61.11;0.57;8.89;63.93
2022;2208809;Regeneração;PI;0.952727;0.888889;0.888889;0.103495;0.135392;0.745165;0.001357;0.216828;21.84466;10;9.74882;17527.29;9.771571;0.260166;0.384257;0.009491;0.177362;55.0;1200.0;57.66;0.57;9.36;56.79
