feature,mean_abs_shap
PROP_MAT_PRETA,0.04175221988643307
IDH_EXPECT_ANOS_ESTUDO,0.03232148044844547
COBERTURA_CRECHE_0_3,0.022607454527310857
TAXA_OCUP_MASC,0.016991027909662188
IDH_RAZAO_DEPENDENCIA,0.015667401326307066
LOG_POP_TOTAL,0.014679493589063008
PROP_MAT_BRANCA,0.012570716121959771
PROP_ESC_PUBLICA,0.008992463624486715
RENDA_MEDIANA_RESPONSAVEL,0.006230909694243196
TAXA_OCUP_FEM,0.006173389408929328
MEDIA_MAT_0_3_POR_ESCOLA,0.0052114500781275195
PERC_RENDA_OUTRAS_FONTES,0.004988735751959795
IDH_GINI,0.00470034982446151
PIB_PC,0.004502178796984975
PROP_MAT_INDIGENA,0.003202876102853725
IDH_PROP_POBREZA_CRIANCAS,0.003107882502691519
PROP_ESC_URBANA,0.00287235144287525
ESCOLAS_CRECHE_POR_1000_CRIAN,0.0024105083881839464
PROP_MAT_PARDA,0.0008880136505851295
PROP_MAES_JOVENS,0.0006776921038542014
LOG_PIB_PC,0.000399534291196047
PROP_DOM_SEM_CONJUGE_MULHER,0.00020194083435416563
