PROP_ESC_PUBLICA,PROP_ESC_URBANA,PROP_MAT_BRANCA,PROP_MAT_PRETA,PROP_MAT_PARDA,PROP_MAT_INDIGENA,COBERTURA_CRECHE_0_3,ESCOLAS_CRECHE_POR_1000_CRIAN,MEDIA_MAT_0_3_POR_ESCOLA,LOG_POP_TOTAL,PIB_PC,LOG_PIB_PC,TAXA_OCUP_FEM,TAXA_OCUP_MASC,PROP_MAES_JOVENS,PROP_DOM_SEM_CONJUGE_MULHER,PERC_RENDA_OUTRAS_FONTES,RENDA_MEDIANA_RESPONSAVEL,IDH_PROP_POBREZA_CRIANCAS,IDH_GINI,IDH_EXPECT_ANOS_ESTUDO,IDH_RAZAO_DEPENDENCIA
0.777778,0.722222,0.44009,0.033968,0.521463,0.001493,0.147727,18.595041,8,9.707594,13682.62,9.523955,0.247578,0.420727,0.01257,0.144732,48.02,1212.0,49.29,0.53,9.39,49.74
0.883333,0.45,0.044695,0.013408,0.939176,0.001166,0.161122,19.569472,8,10.65867,10763.81,9.284038,0.307848,0.542114,0.016694,0.164543,42.36,1212.0,52.32,0.57,9.08,53.72
0.908046,0.298851,0.193793,0.070733,0.726813,0.00397,0.241588,37.532355,6,10.422133,21939.45,9.996087,0.366669,0.587808,0.01983,0.157979,37.95,1212.0,59.05,0.51,9.38,60.73
1.0,0.28125,0.059439,0.032859,0.859146,0.044789,0.417854,24.006002,17,9.529666,10408.26,9.250451,0.203753,0.304858,0.038228,0.137796,45.22,1200.0,66.97,0.51,8.5,54.49
1.0,1.0,0.114887,0.046926,0.805016,0.004045,0.385135,13.513514,28,8.413165,10877.47,9.294541,0.180423,0.206799,0.011348,0.156231,64.78,1212.0,67.22,0.56,8.99,59.02
0.866667,0.566667,0.141525,0.080508,0.660169,0.109322,0.132804,34.052213,4,9.60272,14332.21,9.570334,0.342775,0.568205,0.020027,0.169317,42.44,1212.0,46.87,0.53,6.44,53.77
0.928571,0.428571,0.153114,0.078388,0.7663,0.002198,0.11828,25.089606,5,9.24242,11779.08,9.374165,0.270673,0.471667,0.010201,0.145414,47.45,1212.0,49.34,0.46,10.34,55.32
0.95,0.25,0.168164,0.01733,0.811938,0.000642,0.319415,41.753653,8,8.740657,12495.6,9.433212,0.196702,0.413948,0.013355,0.128327,54.49,1200.0,63.75,0.48,7.52,60.8
0.923077,0.730769,0.029028,0.245283,0.712627,0.001451,0.439614,41.867955,10,9.287209,16170.12,9.690982,0.328553,0.490503,0.019123,0.195887,46.95,1212.0,42.94,0.45,8.64,53.02
1.0,0.363636,0.419855,0.026887,0.549121,0.0,0.291667,35.25641,8,8.410053,12700.07,9.449441,0.202553,0.374362,0.009471,0.157713,50.7,1212.0,68.62,0.52,9.15,57.15
1.0,0.357143,0.227913,0.008963,0.763124,0.0,0.436364,31.818182,14,8.928905,9816.33,9.191904,0.308901,0.472034,0.006308,0.125047,51.6,1200.0,54.01,0.45,8.82,52.25
0.974359,0.25641,0.073072,0.138024,0.776049,0.011502,0.177419,57.184751,3,9.229358,11303.5,9.332956,0.198133,0.51294,0.030118,0.115705,42.54,1200.0,55.88,0.47,7.71,66.14
