iter	RMSE
319	0.2431875386
320	0.2429824596
321	0.2428644589
322	0.2426811631
323	0.2424836652
324	0.2423592591
325	0.2421986775
326	0.2419828882
327	0.2417752159
328	0.2416527124
329	0.2414050641
330	0.2412932369
331	0.2411667603
332	0.2409818256
333	0.2408031975
334	0.2406517094
335	0.2405167661
336	0.2403532658
337	0.240144455
338	0.2399025451
339	0.2396691277
340	0.239413469
341	0.2392794184
342	0.2391245229
343	0.2389522334
344	0.2387005355
345	0.2385309832
346	0.2383741871
347	0.2382169735
348	0.2380014409
349	0.2377273626
350	0.2375262367
351	0.2373385422
352	0.2370549341
353	0.236895996
354	0.2365810188
355	0.2364064622
356	0.2362822581
357	0.2361633866
358	0.2360482491
359	0.2359357133
360	0.2357913004
361	0.2355947046
362	0.235374905
363	0.2351144411
364	0.2348556868
365	0.2346927966
366	0.234508787
367	0.2342542268
368	0.2340955632
369	0.2339462641
370	0.2338026086
371	0.2336501081
372	0.2335402484
373	0.2333046869
374	0.233087768
375	0.232938882
376	0.232780731
377	0.2326674674
378	0.2324629459
379	0.2323025863
380	0.2321279778
381	0.231911304
382	0.231736616
383	0.2315624212
384	0.2314047564
385	0.2312536215
386	0.2310794572
387	0.2309358609
388	0.2307834561
389	0.2306516124
390	0.2305510166
391	0.2304026553
392	0.2301739628
393	0.2300274301
394	0.2298704918
395	0.229751276
396	0.2295140431
397	0.2294030702
398	0.2292637913
399	0.2291164268
400	0.2289284836
401	0.228790134
402	0.2286978519
403	0.2285577995
404	0.2284139263
405	0.2282685314
406	0.2281071111
407	0.2278768403
408	0.2277575908
409	0.2276551935
410	0.2275395981
411	0.2273775753
412	0.2272123156
413	0.2270457886
414	0.2269182948
415	0.2267111993
416	0.2264655137
417	0.2262661341
418	0.2260626366
419	0.2258524214
420	0.2257409673
421	0.2256080551
422	0.2254667466
423	0.2252806391
424	0.2251152526
425	0.224990614
426	0.2248457532
427	0.2247160158
428	0.2245638262
429	0.2243988061
430	0.2241717272
431	0.2240132945
432	0.223852042
433	0.2236882867
434	0.223563325
435	0.2234270037
436	0.2232303353
437	0.2229976573
438	0.2228020676
439	0.2226667074
440	0.2225281327
441	0.2222982934
442	0.2221278889
443	0.2220117782
444	0.2218643265
445	0.2217493528
446	0.2216056641
447	0.2213888632
448	0.2211378991
449	0.2208837132
450	0.2207262086
451	0.220561927
452	0.2203793542
453	0.2201238141
454	0.2200536837
455	0.2199358771
456	0.2197923049
457	0.2196728781
458	0.2194163967
459	0.2192848625
460	0.2191338748
461	0.2189179949
462	0.2188395139
463	0.2186831359
464	0.2185726628
465	0.2184490798
466	0.2183149405
467	0.2181230128
468	0.2179513337
469	0.2177421272
470	0.2175936709
471	0.2173819178
472	0.217286212
473	0.2171930343
474	0.2169847886
475	0.2168326933
476	0.2167660449
477	0.2165553866
478	0.2163972634
479	0.2161618052
480	0.2160486486
481	0.2159373324
482	0.2157876304
483	0.2156559903
484	0.2154543397
485	0.2153430111
486	0.215255178
487	0.2151203202
488	0.2149585896
489	0.2147972745
490	0.2146282707
491	0.2144670879
492	0.214273215
493	0.2141866966
494	0.2139189155
495	0.2138029719
496	0.2137074513
497	0.2135660827
498	0.2134458031
499	0.2131773058
500	0.2128883601
501	0.2127573517
502	0.2126374752
503	0.2125218134
504	0.2124167559
505	0.2122723284
506	0.2121837969
507	0.2120492657
508	0.2118586177
509	0.2115910696
510	0.2114008314
511	0.2112745806
512	0.211185839
513	0.2110623001
514	0.210910228
515	0.2108193942
516	0.2106866285
517	0.2105386343
518	0.2104101084
519	0.2102788459
520	0.2101670808
521	0.2100757076
522	0.2098864246
523	0.2097717416
524	0.209661055
525	0.2095299847
526	0.209407334
527	0.2093246888
528	0.2092194378
529	0.2090891642
530	0.2089634709
531	0.2088291243
532	0.208632082
533	0.2085409071
534	0.2084487502
535	0.2083274625
536	0.2081760075
537	0.2079906754
538	0.2078446259
539	0.2076620411
540	0.2074868821
541	0.2073765579
542	0.2072249526
543	0.207077417
544	0.20694158
545	0.2067037308
546	0.206539976
547	0.2063535321
548	0.2061980355
549	0.2059638598
550	0.2057895634
551	0.2056921909
552	0.205413543
553	0.205277282
554	0.2051846968
555	0.205077916
556	0.2048835025
557	0.2047477403
558	0.2046348719
559	0.2044496205
560	0.2043170985
561	0.2041929472
562	0.2040727658
563	0.2039504927
564	0.2037527561
