number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_hidden_layer_sizes,params_k_features,params_learning_rate_init,user_attrs_rmse_cv_std,state
127,0.3318675203021363,2026-06-20 01:13:55.146492,2026-06-20 01:13:56.131211,0 days 00:00:00.984719,relu,0.00647761801337226,64,"(128,)",73,0.00045282068791644846,0.013752256475839645,COMPLETE
128,0.3242630030630224,2026-06-20 01:13:56.131339,2026-06-20 01:13:57.285001,0 days 00:00:01.153662,tanh,0.004578129699422476,16,"(64,)",78,0.0003287066616184196,0.010240014134719134,COMPLETE
129,0.319720193142577,2026-06-20 01:13:57.285120,2026-06-20 01:13:58.170878,0 days 00:00:00.885758,tanh,0.007870153896109993,64,"(128,)",86,0.00023913811959982577,0.008691710318057485,COMPLETE
130,0.32290761356870346,2026-06-20 01:13:58.170995,2026-06-20 01:13:58.922551,0 days 00:00:00.751556,tanh,0.005894248891271581,64,"(128,)",69,0.00042368737424370147,0.009246918873962487,COMPLETE
131,0.3192186728682943,2026-06-20 01:13:58.922666,2026-06-20 01:13:59.775679,0 days 00:00:00.853013,tanh,0.007847960816375298,64,"(128,)",76,0.0003052533222349843,0.009330200280737885,COMPLETE
132,0.31922768613215025,2026-06-20 01:13:59.775803,2026-06-20 01:14:00.629807,0 days 00:00:00.854004,tanh,0.00800200585066412,64,"(128,)",76,0.00029988928342069453,0.009333716956828723,COMPLETE
133,0.31917248232183665,2026-06-20 01:14:00.629926,2026-06-20 01:14:01.481869,0 days 00:00:00.851943,tanh,0.00993674265867752,64,"(128,)",75,0.0003039565230069515,0.009346824102260629,COMPLETE
134,0.3192655445280736,2026-06-20 01:14:01.481982,2026-06-20 01:14:02.335376,0 days 00:00:00.853394,tanh,0.006536193402889384,64,"(128,)",76,0.0002986144129938502,0.009322865866741232,COMPLETE
135,0.3192858205201923,2026-06-20 01:14:02.335501,2026-06-20 01:14:03.189346,0 days 00:00:00.853845,tanh,0.005248797532120265,64,"(128,)",83,0.00030251600696184263,0.009310751225526633,COMPLETE
136,0.32604291244978467,2026-06-20 01:14:03.189463,2026-06-20 01:14:04.249920,0 days 00:00:01.060457,tanh,0.008570398395505776,64,"(128, 64)",71,0.00024392926969205592,0.010505492893946086,COMPLETE
137,0.3203023066457861,2026-06-20 01:14:04.250049,2026-06-20 01:14:05.134586,0 days 00:00:00.884537,tanh,0.009759062118150828,64,"(128,)",78,0.00022178689317212108,0.008757908651085177,COMPLETE
138,0.3194673725979747,2026-06-20 01:14:05.134699,2026-06-20 01:14:05.988522,0 days 00:00:00.853823,tanh,0.003565532259503129,64,"(128,)",75,0.00027767870310498857,0.009308434308729772,COMPLETE
139,0.3477211893657294,2026-06-20 01:14:05.988645,2026-06-20 01:14:06.975205,0 days 00:00:00.986560,tanh,0.006884055743319,64,"(32,)",67,0.0002982556697854497,0.006669301773391697,COMPLETE
140,0.32178202492025787,2026-06-20 01:14:06.975328,2026-06-20 01:14:07.729625,0 days 00:00:00.754297,tanh,0.0048348582079369195,64,"(128,)",72,0.00040333579706539746,0.010200432177001584,COMPLETE
141,0.3192326502805631,2026-06-20 01:14:07.729742,2026-06-20 01:14:08.561887,0 days 00:00:00.832145,tanh,0.008283396380832938,64,"(128,)",74,0.0003541444946572004,0.009149032937752868,COMPLETE
142,0.31916284256933886,2026-06-20 01:14:08.562006,2026-06-20 01:14:09.453538,0 days 00:00:00.891532,tanh,0.009955602366826348,64,"(128,)",81,0.00031367093364920796,0.00934304391138374,COMPLETE
143,0.3191637013984767,2026-06-20 01:14:09.453660,2026-06-20 01:14:10.352369,0 days 00:00:00.898709,tanh,0.009972743073753175,64,"(128,)",82,0.0003159361843175045,0.009342232888334401,COMPLETE
144,0.31923916018057963,2026-06-20 01:14:10.352496,2026-06-20 01:14:11.258487,0 days 00:00:00.905991,tanh,0.007066254418496724,64,"(128,)",81,0.0003179968251929302,0.009317883989013703,COMPLETE
145,0.3248774873517912,2026-06-20 01:14:11.258612,2026-06-20 01:14:12.121772,0 days 00:00:00.863160,tanh,0.006010246423466814,128,"(128,)",84,0.00031039711919242824,0.009775013929640976,COMPLETE
146,0.3194716248103536,2026-06-20 01:14:12.121897,2026-06-20 01:14:12.957109,0 days 00:00:00.835212,tanh,0.008223889585633144,64,"(128,)",89,0.0003630800272499682,0.008914149717116095,COMPLETE
147,0.3216740131518348,2026-06-20 01:14:12.957226,2026-06-20 01:14:13.743484,0 days 00:00:00.786258,tanh,0.00999943278018148,64,"(128,)",95,0.0004077395579231983,0.010195625413949753,COMPLETE
148,0.31954863757719054,2026-06-20 01:14:13.743602,2026-06-20 01:14:14.677538,0 days 00:00:00.933936,tanh,0.004091935893966848,64,"(128,)",79,0.00024821527468387437,0.008652457091393983,COMPLETE
149,0.3451573817874835,2026-06-20 01:14:14.677665,2026-06-20 01:14:15.579104,0 days 00:00:00.901439,relu,0.00574898789764357,32,"(64, 32)",6,0.00032389303717620966,0.006450766290906393,COMPLETE
