number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_hidden_layer_sizes,params_k_features,params_learning_rate_init,user_attrs_rmse_cv_std,state
28,0.3209773480891585,2026-06-20 01:12:22.555422,2026-06-20 01:12:24.085432,0 days 00:00:01.530010,tanh,1.6034372479825313e-05,32,"(128,)",89,0.00010127815403888885,0.008464141639481641,COMPLETE
29,0.33545909644457045,2026-06-20 01:12:24.085564,2026-06-20 01:12:25.605710,0 days 00:00:01.520146,relu,9.482413702532843e-05,64,"(128,)",79,0.00021138585573156305,0.014830162442650315,COMPLETE
30,0.3263481587966751,2026-06-20 01:12:25.605834,2026-06-20 01:12:26.404028,0 days 00:00:00.798194,tanh,1.6113459744860515e-05,128,"(128,)",68,0.0005411228472237364,0.011594797417296515,COMPLETE
31,0.32095147791004186,2026-06-20 01:12:26.404159,2026-06-20 01:12:27.962673,0 days 00:00:01.558514,tanh,5.6606169291666516e-06,32,"(128,)",90,0.0001083115070620386,0.00865509817406657,COMPLETE
32,0.3212261502435758,2026-06-20 01:12:27.962799,2026-06-20 01:12:29.378608,0 days 00:00:01.415809,tanh,4.933407462781307e-06,32,"(128,)",94,0.00013461284298062884,0.00866476517518906,COMPLETE
33,0.31998474315287806,2026-06-20 01:12:29.378735,2026-06-20 01:12:30.653032,0 days 00:00:01.274297,tanh,1.8473846740500412e-05,32,"(128,)",73,0.00022166637288506652,0.008965696901965121,COMPLETE
34,0.3351104925357703,2026-06-20 01:12:30.653159,2026-06-20 01:12:31.603168,0 days 00:00:00.950009,tanh,5.503186927104286e-05,128,"(128, 64)",74,0.0003359289524887291,0.012263689121144524,COMPLETE
35,0.31987676014771776,2026-06-20 01:12:31.603285,2026-06-20 01:12:32.874635,0 days 00:00:01.271350,tanh,2.1915027974891903e-05,32,"(128,)",54,0.00022988083401372084,0.008964805400386628,COMPLETE
36,0.32023986895560264,2026-06-20 01:12:32.874758,2026-06-20 01:12:33.873683,0 days 00:00:00.998925,tanh,0.00021403858440055104,64,"(128,)",51,0.00022759840226528992,0.008703466291039335,COMPLETE
37,0.3465126214914961,2026-06-20 01:12:33.873810,2026-06-20 01:12:34.817111,0 days 00:00:00.943301,tanh,0.00023386124664733784,64,"(32,)",53,0.0004356397938602421,0.005775109520659095,COMPLETE
38,0.3198653544051479,2026-06-20 01:12:34.817241,2026-06-20 01:12:35.815043,0 days 00:00:00.997802,tanh,0.00013065366801120174,64,"(128,)",36,0.00023928442500812628,0.00866480025693442,COMPLETE
39,0.3349731117754712,2026-06-20 01:12:35.815165,2026-06-20 01:12:37.326531,0 days 00:00:01.511366,relu,0.00041418133012551163,64,"(128,)",35,0.00022242225350815623,0.014823586761103338,COMPLETE
40,0.3300752821709874,2026-06-20 01:12:37.326653,2026-06-20 01:12:38.416125,0 days 00:00:01.089472,tanh,0.00012470367632284212,64,"(128, 64)",32,0.0005633085686586807,0.013285798728803143,COMPLETE
41,0.3196436747286622,2026-06-20 01:12:38.416244,2026-06-20 01:12:39.418732,0 days 00:00:01.002488,tanh,2.213073926857532e-05,64,"(128,)",51,0.00024786644575202347,0.008638741579819422,COMPLETE
42,0.32000226251544844,2026-06-20 01:12:39.418865,2026-06-20 01:12:40.417982,0 days 00:00:00.999117,tanh,2.635941542797018e-05,64,"(128,)",54,0.00023478037072181582,0.008678563229823742,COMPLETE
43,0.32313230925974584,2026-06-20 01:12:40.418108,2026-06-20 01:12:41.263426,0 days 00:00:00.845318,tanh,2.622204894471025e-05,64,"(128,)",59,0.00041373957680503813,0.009265997766357788,COMPLETE
44,0.3195048910617428,2026-06-20 01:12:41.263549,2026-06-20 01:12:42.303744,0 days 00:00:01.040195,tanh,5.05483710050084e-05,64,"(128,)",39,0.00026761175222209907,0.009004458516752559,COMPLETE
45,0.3367202568585548,2026-06-20 01:12:42.303862,2026-06-20 01:12:43.549271,0 days 00:00:01.245409,tanh,4.876536191064699e-05,64,"(64, 32)",38,0.00018578871503064138,0.01286730409746251,COMPLETE
46,0.3373868975216355,2026-06-20 01:12:43.549396,2026-06-20 01:12:44.294460,0 days 00:00:00.745064,tanh,8.374381543424349e-05,64,"(32,)",20,0.004367706943797092,0.012203132277499258,COMPLETE
47,0.3236282210485181,2026-06-20 01:12:44.294585,2026-06-20 01:12:45.231387,0 days 00:00:00.936802,tanh,0.0001359465961799968,64,"(128,)",27,0.0003887538464146474,0.011124872929507267,COMPLETE
48,0.34758664894555885,2026-06-20 01:12:45.231510,2026-06-20 01:12:46.000858,0 days 00:00:00.769348,relu,4.021900463789564e-05,64,"(64,)",6,0.0006268861722609205,0.005421553538867294,COMPLETE
49,0.31930157885795724,2026-06-20 01:12:46.000990,2026-06-20 01:12:46.965977,0 days 00:00:00.964987,tanh,0.00916778122133847,64,"(128,)",42,0.0002828831268588402,0.009348391116159656,COMPLETE
