number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_k_features,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_rmse_cv_std,state
114,0.31198298890106335,2026-06-20 00:49:52.686065,2026-06-20 00:50:04.334151,0 days 00:00:11.648086,8,721,98,0.0041889009922998766,0.010778083237775725,0.0019760666935700853,0.009422482227523458,COMPLETE
115,0.3118783028419666,2026-06-20 00:50:04.334351,2026-06-20 00:50:11.055626,0 days 00:00:06.721275,7,701,100,0.239863191995251,0.009655830563644843,0.0037957421751341524,0.010287485558120283,COMPLETE
116,0.31193080898515685,2026-06-20 00:50:11.055802,2026-06-20 00:50:18.421625,0 days 00:00:07.365823,7,792,85,0.04359281587440422,0.00870343966830447,0.007340989468007728,0.009485840172171179,COMPLETE
117,0.31209797141687795,2026-06-20 00:50:18.421793,2026-06-20 00:50:22.910011,0 days 00:00:04.488218,6,773,93,0.13632219352547614,0.007251269387262976,0.0028023717714592946,0.010508539240403717,COMPLETE
118,0.3111932357660301,2026-06-20 00:50:22.910188,2026-06-20 00:50:29.315288,0 days 00:00:06.405100,7,673,90,0.05916975663467763,0.01035557596582106,0.0013631292699666346,0.009822653693035926,COMPLETE
119,0.31252688107334226,2026-06-20 00:50:29.315457,2026-06-20 00:50:33.279838,0 days 00:00:03.964381,6,671,90,0.06942849009714157,0.011273092962433182,0.011971873515951139,0.009432477678868689,COMPLETE
120,0.3126119638643413,2026-06-20 00:50:33.280007,2026-06-20 00:50:45.694339,0 days 00:00:12.414332,8,743,88,0.11709272296964815,0.010294608247923383,0.005640681682810056,0.010068106464466193,COMPLETE
121,0.3114613207349102,2026-06-20 00:50:45.694538,2026-06-20 00:50:52.478631,0 days 00:00:06.784093,7,691,96,0.09537389445297209,0.009517004716488692,0.0018441611966980387,0.01063958151722525,COMPLETE
122,0.3130051118318188,2026-06-20 00:50:52.478825,2026-06-20 00:50:59.396921,0 days 00:00:06.918096,7,673,96,0.08714981377705686,0.012768122083789626,0.0017719979707076262,0.009240539845168684,COMPLETE
123,0.3117639033124511,2026-06-20 00:50:59.397114,2026-06-20 00:51:06.133848,0 days 00:00:06.736734,7,693,92,0.003136191528324446,0.009513172485989563,0.0014173735790575094,0.010114408158505114,COMPLETE
124,0.3115318768286969,2026-06-20 00:51:06.134042,2026-06-20 00:51:12.746191,0 days 00:00:06.612149,7,689,92,0.0031641418276678645,0.009535185321603877,0.001469488508287534,0.01060322742405688,COMPLETE
125,0.31200280068783115,2026-06-20 00:51:12.746385,2026-06-20 00:51:19.568652,0 days 00:00:06.822267,7,712,89,0.18551320262536777,0.009335936081088845,0.001182821043781281,0.009376015099966748,COMPLETE
126,0.31193977798555783,2026-06-20 00:51:19.568848,2026-06-20 00:51:26.512867,0 days 00:00:06.944019,7,728,94,0.0016442668358380424,0.007702757727115195,0.0024682285751493104,0.009408679880772035,COMPLETE
