feature,n_changes
SG_UF,20
COBERTURA_CRECHE_0_3,10
IDH_EXPECT_ANOS_ESTUDO,4
LOG_PIB_PC,3
PIB_PC,2
PROP_MAT_PRETA,2
PROP_ESC_PUBLICA,2
LOG_POP_TOTAL,2
MEDIA_MAT_0_3_POR_ESCOLA,2
PROP_DOM_SEM_CONJUGE_MULHER,1
PERC_RENDA_OUTRAS_FONTES,1
PROP_ESC_URBANA,1
PROP_MAT_BRANCA,1
PROP_MAT_PARDA,1
IDH_RAZAO_DEPENDENCIA,1
