instance_rank,original_index,counterfactual_id,original_prediction,counterfactual_prediction,desired_low,desired_high,original__SG_UF,counterfactual__SG_UF,original__PROP_ESC_PUBLICA,counterfactual__PROP_ESC_PUBLICA,original__PROP_ESC_URBANA,counterfactual__PROP_ESC_URBANA,original__PROP_MAT_BRANCA,counterfactual__PROP_MAT_BRANCA,original__PROP_MAT_PRETA,counterfactual__PROP_MAT_PRETA,original__PROP_MAT_PARDA,counterfactual__PROP_MAT_PARDA,original__PROP_MAT_INDIGENA,counterfactual__PROP_MAT_INDIGENA,original__COBERTURA_CRECHE_0_3,counterfactual__COBERTURA_CRECHE_0_3,original__ESCOLAS_CRECHE_POR_1000_CRIAN,counterfactual__ESCOLAS_CRECHE_POR_1000_CRIAN,original__MEDIA_MAT_0_3_POR_ESCOLA,counterfactual__MEDIA_MAT_0_3_POR_ESCOLA,original__LOG_POP_TOTAL,counterfactual__LOG_POP_TOTAL,original__PIB_PC,counterfactual__PIB_PC,original__LOG_PIB_PC,counterfactual__LOG_PIB_PC,original__TAXA_OCUP_FEM,counterfactual__TAXA_OCUP_FEM,original__TAXA_OCUP_MASC,counterfactual__TAXA_OCUP_MASC,original__PROP_MAES_JOVENS,counterfactual__PROP_MAES_JOVENS,original__PROP_DOM_SEM_CONJUGE_MULHER,counterfactual__PROP_DOM_SEM_CONJUGE_MULHER,original__PERC_RENDA_OUTRAS_FONTES,counterfactual__PERC_RENDA_OUTRAS_FONTES,original__RENDA_MEDIANA_RESPONSAVEL,counterfactual__RENDA_MEDIANA_RESPONSAVEL,original__IDH_PROP_POBREZA_CRIANCAS,counterfactual__IDH_PROP_POBREZA_CRIANCAS,original__IDH_GINI,counterfactual__IDH_GINI,original__IDH_EXPECT_ANOS_ESTUDO,counterfactual__IDH_EXPECT_ANOS_ESTUDO,original__IDH_RAZAO_DEPENDENCIA,counterfactual__IDH_RAZAO_DEPENDENCIA
4,250,2,0.6900654435157776,0.49222248792648315,0.0,0.6007244870626124,BA,PB,0.818182,0.818182,0.636364,0.636364,0.196248,0.196248,0.25469,0.25469,0.545455,0.545455,0.000722,0.000722,0.460274,0.460274,30.136986,30.136986,15,15,8.730852,8.730852,10387.56,10387.56,9.248461,9.248461,0.352829,0.352829,0.552758,0.552758,0.010405,0.010405,0.154729,0.154729,47.11,47.11,1212.0,1212.0,52.32,52.32,0.47,0.47,9.35,6.95,52.5,52.5
4,250,3,0.6900654435157776,0.3482147455215454,0.0,0.6007244870626124,BA,SE,0.818182,0.818182,0.636364,0.636364,0.196248,0.196248,0.25469,0.25469,0.545455,0.545455,0.000722,0.000722,0.460274,0.460274,30.136986,30.136986,15,15,8.730852,8.730852,10387.56,10387.56,9.248461,9.462684,0.352829,0.352829,0.552758,0.552758,0.010405,0.010405,0.154729,0.154729,47.11,47.11,1212.0,1212.0,52.32,52.32,0.47,0.47,9.35,9.35,52.5,52.5
5,226,1,0.7013598084449768,0.3745385706424713,0.0,0.6120188519918116,BA,PE,0.947368,0.3,0.210526,0.210526,0.121557,0.121557,0.1721,0.1721,0.695982,0.695982,0.000758,0.000758,0.454152,0.454152,27.436823,27.436823,17,17,9.784817,9.784817,125465.96,125465.96,11.739798,11.739798,0.528555,0.528555,0.694412,0.694412,0.016173,0.016173,0.144015,0.144015,24.27,24.27,1212.0,1212.0,44.37,44.37,0.53,0.53,7.89,7.89,47.86,47.86
5,226,2,0.7013598084449768,0.5371649861335754,0.0,0.6120188519918116,BA,BA,0.947368,0.947368,0.210526,0.210526,0.121557,0.121557,0.1721,0.1721,0.695982,0.695982,0.000758,0.000758,0.454152,0.206101,27.436823,27.436823,17,17,9.784817,9.784817,125465.96,125465.96,11.739798,11.739798,0.528555,0.528555,0.694412,0.694412,0.016173,0.016173,0.144015,0.144015,24.27,24.27,1212.0,1212.0,44.37,44.37,0.53,0.53,7.89,7.89,47.86,47.86
5,226,3,0.7013598084449768,0.5398282408714294,0.0,0.6120188519918116,BA,BA,0.947368,0.947368,0.210526,0.210526,0.121557,0.121557,0.1721,0.1721,0.695982,0.695982,0.000758,0.000758,0.454152,0.185429,27.436823,27.436823,17,17,9.784817,9.784817,125465.96,125465.96,11.739798,11.739798,0.528555,0.528555,0.694412,0.694412,0.016173,0.016173,0.144015,0.144015,24.27,50.54,1212.0,1212.0,44.37,44.37,0.53,0.53,7.89,7.89,47.86,47.86
6,130,1,0.709356427192688,0.5104606747627258,0.0,0.6200154707395228,BA,BA,0.829268,0.829268,0.439024,0.439024,0.109009,0.109009,0.204082,0.204082,0.661025,0.661025,0.006969,0.006969,0.556597,0.205345,27.461487,27.461487,20,20,10.115085,10.115085,14868.65,14868.65,9.607077,9.607077,0.312396,0.312396,0.508025,0.508025,0.008711,0.008711,0.195178,0.195178,43.88,43.88,1212.0,1212.0,47.73,47.73,0.54,0.54,7.6,7.6,51.88,51.88
6,130,2,0.709356427192688,0.5108733177185059,0.0,0.6200154707395228,BA,BA,0.829268,0.829268,0.439024,0.2,0.109009,0.109009,0.204082,0.204082,0.661025,0.661025,0.006969,0.006969,0.556597,0.205345,27.461487,27.461487,20,20,10.115085,10.115085,14868.65,14868.65,9.607077,9.607077,0.312396,0.312396,0.508025,0.508025,0.008711,0.008711,0.195178,0.195178,43.88,43.88,1212.0,1212.0,47.73,47.73,0.54,0.54,7.6,7.6,51.88,51.88
6,130,3,0.709356427192688,0.41529610753059387,0.0,0.6200154707395228,BA,PE,0.829268,0.829268,0.439024,0.439024,0.109009,0.109009,0.204082,0.204082,0.661025,0.661025,0.006969,0.006969,0.556597,0.556597,27.461487,27.461487,20,20,10.115085,10.115085,14868.65,14868.65,9.607077,9.607077,0.312396,0.312396,0.508025,0.508025,0.008711,0.008711,0.195178,0.195178,43.88,43.88,1212.0,1212.0,47.73,47.73,0.54,0.54,7.6,7.6,51.88,51.88
7,156,1,0.7109376192092896,0.30996793508529663,0.0,0.6215966627561244,AL,CE,1.0,1.0,0.4,0.4,0.247951,0.247951,0.040984,0.040984,0.704918,0.704918,0.006148,0.006148,0.521858,0.521858,27.322404,27.322404,19,19,8.665096,8.665096,15157.52,15157.52,9.626318,9.626318,0.207835,0.207835,0.398551,0.398551,0.01312,0.01312,0.131171,0.131171,59.07,59.07,1212.0,1212.0,62.09,62.09,0.5,0.5,9.29,9.29,56.89,56.89
7,156,2,0.7109376192092896,0.37525078654289246,0.0,0.6215966627561244,AL,PE,1.0,1.0,0.4,0.4,0.247951,0.704856,0.040984,0.040984,0.704918,0.704918,0.006148,0.006148,0.521858,0.521858,27.322404,27.322404,19,19,8.665096,8.665096,15157.52,15157.52,9.626318,9.626318,0.207835,0.207835,0.398551,0.398551,0.01312,0.01312,0.131171,0.131171,59.07,59.07,1212.0,1212.0,62.09,62.09,0.5,0.5,9.29,9.29,56.89,56.89
