model_name,best_cv_rmse,test_rmse,test_mae,test_r2,n_selected_features
lightgbm,0.33704067791542286,0.3303747207848145,0.27627193047243065,0.15348780829901065,22
xgboost,0.33614345486250236,0.33216983132400285,0.2789300237460113,0.14426366835825521,22
random_forest,0.3363638140844673,0.3328680162989257,0.28179070784241483,0.14066255776189274,22
catboost,0.3344251392550983,0.3329306217055354,0.27771625834946556,0.140339281108129,22
mlp,0.33778827059839334,0.3333102553216182,0.2772873335787891,0.13837765814858316,22
