NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;TAXA_CRE_INT;PROP_ESC_PUBLICA;PROP_ESC_URBANA;PROP_MAT_BRANCA;PROP_MAT_PRETA;PROP_MAT_PARDA;PROP_MAT_INDIGENA;COBERTURA_CRECHE_0_3;CRECHE_POR_1000_HAB;ESCOLAS_CRECHE_POR_1000_CRIAN;MEDIA_MAT_0_3_POR_ESCOLA;PROP_POP_0_4;LOG_POP_TOTAL;LOG_POP_0_4;PIB_PC;LOG_PIB_PC;TAXA_OCUP_FEM;TAXA_OCUP_MASC;PROP_MAES_JOVENS;PROP_DOM_SEM_CONJUGE;PROP_DOM_SEM_CONJUGE_MULHER;PROP_DOM_SEM_CONJUGE_HOMEM;PROP_MULHER_ENTRE_RESP_SEM_CONJUGE;PERC_RENDA_OUTRAS_FONTES;RAZAO_OUTRAS_FONTES_TRABALHO;RENDA_MEDIANA_RESPONSAVEL;LOG_RENDA_MEDIANA_RESPONSAVEL;IDH_PROP_POBREZA;IDH_PROP_POBREZA_CRIANCAS;IDH_PROP_VULNER_POBREZA;IDH_GINI;IDH_EXPECT_ANOS_ESTUDO;IDH_RAZAO_DEPENDENCIA
2022;2304608;General Sampaio;CE;0.525692;1.0;0.454545;0.103865;0.006441;0.886473;0.000805;0.454724;37.570538;21.653543;21;0.075438;8.815073;6.232448;13354.02;9.499648;0.276085;0.468597;0.025875;0.149139;0.133273;0.015866;0.893617;52.14;1.089427;1062.5;6.969321;43.35;61.79;71.11;0.51;9.61;66.68
2022;2304657;Graça;CE;0.005714;1.0;0.368421;0.254392;0.03256;0.709065;0.001171;0.346154;25.360481;20.879121;17;0.065937;9.532569;6.814543;9912.9;9.201694;0.239557;0.401154;0.014417;0.167839;0.143626;0.024214;0.855734;55.35;1.239642;1100.0;7.003974;55.15;71.19;74.44;0.55;9.74;67.75
2022;2304707;Granja;CE;0.005861;0.950617;0.432099;0.094186;0.005984;0.894068;7.4e-05;0.332986;25.588632;21.121252;16;0.071892;10.884536;8.252185;9652.5;9.175076;0.238111;0.386775;0.018582;0.17272;0.145991;0.02673;0.845242;50.77;1.031282;1100.0;7.003974;63.91;78.38;82.31;0.62;9.46;64.81
2022;2304806;Granjeiro;CE;0.0;1.0;0.3125;0.104141;0.007528;0.885822;0.001255;0.357143;26.647387;49.689441;7;0.066515;8.485083;5.777652;11447.84;9.345644;0.254564;0.437468;0.011679;0.138871;0.122648;0.016223;0.883178;48.21;0.930875;1212.0;7.100852;46.36;66.31;70.13;0.51;9.31;60.12
2022;2304905;Groaíras;CE;0.043478;1.0;0.5625;0.202532;0.005063;0.792405;0.0;0.416168;27.406049;23.952096;17;0.061228;9.297527;6.505784;11337.03;9.335918;0.280306;0.496817;0.010863;0.181841;0.161137;0.020703;0.886145;46.42;0.866368;1212.0;7.100852;31.9;50.06;61.02;0.47;10.37;53.8
2022;2304954;Guaiúba;CE;0.451043;0.870968;0.645161;0.056618;0.008436;0.934383;0.000187;0.337624;25.611511;18.139263;19;0.070257;10.099301;7.444249;11197.04;9.323494;0.252498;0.46225;0.019871;0.203942;0.180237;0.023705;0.883765;42.42;0.736714;1200.0;7.09091;40.45;53.99;69.62;0.47;9.3;53.2
2022;2305001;Guaraciaba do Norte;CE;0.021201;0.952381;0.428571;0.290208;0.014206;0.691933;0.000203;0.247565;20.188809;13.195099;19;0.07569;10.64671;8.065894;17312.13;9.75922;0.320291;0.578104;0.01124;0.164111;0.144773;0.019338;0.882167;40.5;0.680672;1200.0;7.09091;43.42;59.38;71.11;0.51;9.52;64.28
2022;2305100;Guaramiranga;CE;0.0;0.9375;0.4375;0.09128;0.005705;0.901385;0.0;0.44713;27.237354;48.338369;9;0.058543;8.640295;5.805135;16640.08;9.719629;0.373702;0.546507;0.018568;0.192188;0.159896;0.032292;0.831978;43.01;0.754694;1212.0;7.100852;35.52;49.18;64.55;0.47;9.34;54.91
2022;2305209;Hidrolândia;CE;0.0;0.904762;0.714286;0.151733;0.006932;0.839024;0.000257;0.325777;24.25091;17.632242;18;0.066704;9.790095;7.083388;11432.04;9.344262;0.273296;0.475069;0.009098;0.176127;0.148849;0.027278;0.845121;55.2;1.232143;1212.0;7.100852;44.0;61.87;68.14;0.51;9.38;63.0
2022;2305233;Horizonte;CE;0.10438;0.84375;0.625;0.189556;0.020307;0.786701;0.000534;0.208484;18.326533;11.602611;18;0.073788;11.221985;8.61559;33462.42;10.418208;0.329188;0.588769;0.008544;0.183461;0.164338;0.019123;0.895767;28.38;0.396258;1212.0;7.100852;22.32;33.67;54.91;0.42;9.29;48.38
2022;2305266;Ibaretama;CE;0.269103;0.892857;0.464286;0.197005;0.016306;0.784692;0.0;0.310142;25.175644;33.018868;9;0.070927;9.389072;6.744059;12068.67;9.398451;0.239775;0.393342;0.022052;0.143425;0.117823;0.025603;0.82149;59.26;1.45459;1200.0;7.09091;54.03;70.79;76.65;0.55;8.86;61.33
2022;2305308;Ibiapina;CE;0.029654;0.896552;0.413793;0.21608;0.0067;0.77694;0.0;0.309457;25.328604;16.228316;19;0.074567;10.084391;7.488853;15887.63;9.673359;0.303747;0.603127;0.02294;0.171161;0.150272;0.020889;0.877959;46.03;0.852881;1200.0;7.09091;38.71;53.24;66.87;0.47;9.94;60.57
2022;2305332;Ibicuitinga;CE;0.0;0.909091;0.590909;0.212757;0.003058;0.784185;0.0;0.637037;40.564981;32.592593;20;0.058135;9.359794;6.516193;10792.18;9.28667;0.240873;0.374302;0.011163;0.151961;0.123529;0.028431;0.812903;50.48;1.019386;1212.0;7.100852;53.82;70.4;76.05;0.52;9.94;51.09
2022;2305357;Icapuí;CE;0.0;1.0;0.291667;0.320477;0.053622;0.618689;0.003449;0.274889;20.155834;17.830609;15;0.0628;9.972734;7.205635;18692.3;9.83592;0.326433;0.63024;0.012654;0.149457;0.128723;0.020735;0.861266;40.33;0.675884;1212.0;7.100852;33.32;45.53;64.15;0.47;8.66;45.93
2022;2305407;Icó;CE;0.006637;0.871287;0.316832;0.123308;0.012353;0.861824;0.00037;0.304709;21.646818;25.434399;12;0.063392;11.045207;8.287025;12713.83;9.450525;0.229377;0.391487;0.016744;0.168191;0.146584;0.021607;0.871532;51.95;1.081165;1200.0;7.09091;42.14;59.43;66.06;0.55;9.0;54.16
