number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_hidden_layer_sizes,params_k_features,params_learning_rate_init,user_attrs_rmse_cv_std,state
28,0.34598279669518306,2026-06-21 18:39:25.464187,2026-06-21 18:39:27.195502,0 days 00:00:01.731315,tanh,2.6806781151562737e-06,32,"(128,)",84,0.00028398321994130266,0.007947909957538893,COMPLETE
29,0.35355079626837543,2026-06-21 18:39:27.195502,2026-06-21 18:39:29.991215,0 days 00:00:02.795713,relu,4.310796453384076e-06,32,"(128, 64, 32)",61,0.00021740805319348324,0.010093955456168497,COMPLETE
30,0.33837118602069666,2026-06-21 18:39:29.991215,2026-06-21 18:39:32.417315,0 days 00:00:02.426100,tanh,1.7300239488420415e-05,32,"(128, 64)",62,0.00013709929923983827,0.012225158408917759,COMPLETE
31,0.3384156085769811,2026-06-21 18:39:32.417315,2026-06-21 18:39:34.830601,0 days 00:00:02.413286,tanh,1.557002992111585e-05,32,"(128, 64)",53,0.00013232181120883036,0.012180419747191588,COMPLETE
32,0.3406019241738053,2026-06-21 18:39:34.830601,2026-06-21 18:39:36.901409,0 days 00:00:02.070808,tanh,1.7844546642355307e-05,32,"(128, 64)",62,0.0003491758607389121,0.012830980971810929,COMPLETE
33,0.3383308012098429,2026-06-21 18:39:36.901409,2026-06-21 18:39:39.366087,0 days 00:00:02.464678,tanh,0.00012817058167958713,32,"(128, 64)",73,0.00014174080890866152,0.012260176597322455,COMPLETE
34,0.33827667972771047,2026-06-21 18:39:39.366087,2026-06-21 18:39:41.886871,0 days 00:00:02.520784,tanh,0.0001547292856405897,32,"(128, 64)",74,0.00014920975763056655,0.012303785577391452,COMPLETE
35,0.33778827059839334,2026-06-21 18:39:41.888879,2026-06-21 18:39:44.092649,0 days 00:00:02.203770,tanh,0.00012507414911984278,32,"(128, 64)",90,0.00017852587862777976,0.012532581054492753,COMPLETE
36,0.35292371459834715,2026-06-21 18:39:44.092649,2026-06-21 18:39:47.255343,0 days 00:00:03.162694,relu,0.00047479782100893613,16,"(128, 64, 32)",100,0.00020165822162360886,0.010064446654230482,COMPLETE
37,0.354724676951456,2026-06-21 18:39:47.255343,2026-06-21 18:39:49.409060,0 days 00:00:02.153717,tanh,4.2390026823276665e-05,32,"(32,)",89,0.0003011232560408166,0.012265777854037152,COMPLETE
38,0.3500853635829365,2026-06-21 18:39:49.409060,2026-06-21 18:39:51.786471,0 days 00:00:02.377411,tanh,0.00014189454135033882,32,"(64,)",93,0.00020028511617106877,0.010856197810437732,COMPLETE
39,0.35348549476192925,2026-06-21 18:39:51.786471,2026-06-21 18:39:53.288148,0 days 00:00:01.501677,relu,0.00018450116874695806,128,"(128, 64)",81,0.0006671889704097031,0.014329222857355068,COMPLETE
40,0.3600304259925848,2026-06-21 18:39:53.288148,2026-06-21 18:39:54.839466,0 days 00:00:01.551318,tanh,0.00037806886454526525,32,"(128, 64)",75,0.00895563717491896,0.014588041220244832,COMPLETE
41,0.33835415527955165,2026-06-21 18:39:54.855603,2026-06-21 18:39:57.244257,0 days 00:00:02.388654,tanh,8.316229983765053e-05,32,"(128, 64)",73,0.00013895606611681155,0.01223994572550243,COMPLETE
42,0.3379358094749539,2026-06-21 18:39:57.244257,2026-06-21 18:39:59.642150,0 days 00:00:02.397893,tanh,0.00014565067598517177,32,"(128, 64)",81,0.00016050274332880988,0.012481993810836449,COMPLETE
43,0.33851673078437994,2026-06-21 18:39:59.642150,2026-06-21 18:40:01.875368,0 days 00:00:02.233218,tanh,4.44099869762476e-05,32,"(128, 64)",81,0.00022996378348870853,0.011941445841171065,COMPLETE
44,0.34771993125419637,2026-06-21 18:40:01.875368,2026-06-21 18:40:04.381574,0 days 00:00:02.506206,tanh,0.000805295358089666,32,"(64,)",89,0.00016722434325427388,0.010976775719623515,COMPLETE
45,0.36726927672973075,2026-06-21 18:40:04.381574,2026-06-21 18:40:05.923066,0 days 00:00:01.541492,relu,8.235252393352615e-05,128,"(128,)",94,0.00033549969341339914,0.01780667001628006,COMPLETE
46,0.3420174718857415,2026-06-21 18:40:05.923066,2026-06-21 18:40:08.931923,0 days 00:00:03.008857,tanh,0.0003054589956093027,16,"(128, 64)",83,0.0001788037971469464,0.010980816697844013,COMPLETE
47,0.3511799355175949,2026-06-21 18:40:08.931923,2026-06-21 18:40:12.629913,0 days 00:00:03.697990,tanh,0.00014871194987798008,32,"(128, 64, 32)",100,0.00012012333317033007,0.009802067884954874,COMPLETE
48,0.33858906847023496,2026-06-21 18:40:12.629913,2026-06-21 18:40:14.951333,0 days 00:00:02.321420,tanh,2.9226422217561773e-05,32,"(128, 64)",87,0.00023832192639259035,0.011826109869155608,COMPLETE
49,0.3645008223332037,2026-06-21 18:40:14.951333,2026-06-21 18:40:17.037350,0 days 00:00:02.086017,tanh,0.0007071382390667702,128,"(64, 32)",79,0.00015809451169159077,0.009686191310975143,COMPLETE
