instance_rank,original_index,counterfactual_id,original_prediction,counterfactual_prediction,desired_low,desired_high,original__PROP_ESC_PUBLICA,counterfactual__PROP_ESC_PUBLICA,original__PROP_ESC_URBANA,counterfactual__PROP_ESC_URBANA,original__PROP_MAT_BRANCA,counterfactual__PROP_MAT_BRANCA,original__PROP_MAT_PRETA,counterfactual__PROP_MAT_PRETA,original__PROP_MAT_PARDA,counterfactual__PROP_MAT_PARDA,original__PROP_MAT_INDIGENA,counterfactual__PROP_MAT_INDIGENA,original__COBERTURA_CRECHE_0_3,counterfactual__COBERTURA_CRECHE_0_3,original__ESCOLAS_CRECHE_POR_1000_CRIAN,counterfactual__ESCOLAS_CRECHE_POR_1000_CRIAN,original__MEDIA_MAT_0_3_POR_ESCOLA,counterfactual__MEDIA_MAT_0_3_POR_ESCOLA,original__LOG_POP_TOTAL,counterfactual__LOG_POP_TOTAL,original__PIB_PC,counterfactual__PIB_PC,original__LOG_PIB_PC,counterfactual__LOG_PIB_PC,original__TAXA_OCUP_FEM,counterfactual__TAXA_OCUP_FEM,original__TAXA_OCUP_MASC,counterfactual__TAXA_OCUP_MASC,original__PROP_MAES_JOVENS,counterfactual__PROP_MAES_JOVENS,original__PROP_DOM_SEM_CONJUGE_MULHER,counterfactual__PROP_DOM_SEM_CONJUGE_MULHER,original__PERC_RENDA_OUTRAS_FONTES,counterfactual__PERC_RENDA_OUTRAS_FONTES,original__RENDA_MEDIANA_RESPONSAVEL,counterfactual__RENDA_MEDIANA_RESPONSAVEL,original__IDH_PROP_POBREZA_CRIANCAS,counterfactual__IDH_PROP_POBREZA_CRIANCAS,original__IDH_GINI,counterfactual__IDH_GINI,original__IDH_EXPECT_ANOS_ESTUDO,counterfactual__IDH_EXPECT_ANOS_ESTUDO,original__IDH_RAZAO_DEPENDENCIA,counterfactual__IDH_RAZAO_DEPENDENCIA
4,321,2,0.588727766042217,0.4775660024330409,0.0,0.49938680958905185,0.855721,0.855721,0.378109,0.378109,0.103522,0.103522,0.151525,0.151525,0.737436,0.737436,0.001289,0.001289,0.30359,0.30359,34.358974,34.358974,9.0,9.0,11.358095,8.08223,23470.33,23470.33,10.063535,10.063535,0.429135,0.429135,0.625893,0.625893,0.016216,0.016216,0.173426,0.173426,34.26,34.26,1212.0,1908.3,44.73,44.73,0.54,0.54,8.01,8.01,49.24,49.24
4,321,3,0.588727766042217,0.37933754293282473,0.0,0.49938680958905185,0.855721,0.855721,0.378109,0.378109,0.103522,0.103522,0.151525,0.151525,0.737436,0.737436,0.001289,0.001289,0.30359,0.30359,34.358974,34.358974,9.0,9.0,11.358095,11.358095,23470.33,23470.33,10.063535,10.063535,0.429135,0.429135,0.625893,0.625893,0.016216,0.016216,0.173426,0.173426,34.26,15.98,1212.0,1212.0,44.73,44.73,0.54,0.54,8.01,10.01,49.24,49.24
5,216,1,0.5925416238338258,0.4991078785867278,0.0,0.5032006673806606,0.942857,0.942857,0.314286,0.314286,0.077085,0.046104,0.054339,0.054339,0.865628,0.865628,0.001264,0.001264,0.51166,0.403018,48.010974,48.010974,11.0,11.0,9.289244,9.289244,13362.85,13362.85,9.500308,9.500308,0.285199,0.285199,0.492325,0.492325,0.040118,0.040118,0.134034,0.134034,41.7,41.7,1212.0,1212.0,70.34,70.34,0.54,0.54,7.16,7.16,59.85,59.85
5,216,2,0.5925416238338258,0.4565860523134347,0.0,0.5032006673806606,0.942857,0.942857,0.314286,0.314286,0.077085,0.077085,0.054339,0.054339,0.865628,0.865628,0.001264,0.001264,0.51166,0.231395,48.010974,121.608842,11.0,11.0,9.289244,9.289244,13362.85,13362.85,9.500308,9.500308,0.285199,0.285199,0.492325,0.492325,0.040118,0.040118,0.134034,0.134034,41.7,41.7,1212.0,1212.0,70.34,70.34,0.54,0.54,7.16,7.16,59.85,59.85
5,216,3,0.5925416238338258,0.4589041193296308,0.0,0.5032006673806606,0.942857,0.942857,0.314286,0.314286,0.077085,0.077085,0.054339,0.054339,0.865628,0.865628,0.001264,0.001264,0.51166,0.51166,48.010974,48.010974,11.0,11.0,9.289244,9.289244,13362.85,13362.85,9.500308,9.500308,0.285199,0.285199,0.492325,0.492325,0.040118,0.040118,0.134034,0.134034,41.7,41.7,1212.0,1212.0,70.34,70.34,0.54,0.54,7.16,9.1,59.85,59.85
6,271,1,0.5941259394321671,0.47907061566119596,0.0,0.5047849829790019,0.971429,0.971429,0.342857,0.342857,0.03183,0.03183,0.045614,0.045614,0.911278,0.60358,0.000251,0.000251,0.804107,0.804107,55.292259,55.292259,15.0,15.0,9.050876,9.050876,11517.54,11517.54,9.351713,9.351713,0.247941,0.247941,0.436119,0.436119,0.022019,0.022019,0.147785,0.147785,55.66,55.66,900.0,900.0,70.46,70.46,0.48,0.48,7.45,7.45,62.64,76.48
6,271,2,0.5941259394321671,0.44817720017222656,0.0,0.5047849829790019,0.971429,0.971429,0.342857,0.342857,0.03183,0.797481,0.045614,0.045614,0.911278,0.911278,0.000251,0.000251,0.804107,0.804107,55.292259,55.292259,15.0,15.0,9.050876,9.050876,11517.54,11517.54,9.351713,9.351713,0.247941,0.247941,0.436119,0.436119,0.022019,0.022019,0.147785,0.147785,55.66,55.66,900.0,900.0,70.46,70.46,0.48,0.48,7.45,9.88,62.64,62.64
6,271,3,0.5941259394321671,0.47377196578705877,0.0,0.5047849829790019,0.971429,0.971429,0.342857,0.342857,0.03183,0.03183,0.045614,0.045614,0.911278,0.911278,0.000251,0.000251,0.804107,0.804107,55.292259,55.292259,15.0,15.0,9.050876,9.050876,11517.54,11517.54,9.351713,9.351713,0.247941,0.247941,0.436119,0.436119,0.022019,0.022019,0.147785,0.147785,55.66,55.66,900.0,1897.9,70.46,70.46,0.48,0.48,7.45,7.45,62.64,81.8
7,343,1,0.5967649716246721,0.4785570234360156,0.0,0.5074240151715069,0.888889,0.888889,0.444444,0.444444,0.034091,0.034091,0.413848,0.413848,0.543076,0.543076,0.003171,0.003171,0.322962,0.322962,24.812918,24.812918,13.0,13.0,10.564473,10.564473,654785.04,654785.04,13.392064,13.392064,0.292362,0.292362,0.530379,0.530379,0.015036,0.015036,0.225721,0.225721,35.17,35.17,1212.0,1212.0,24.41,24.41,0.5,0.5,7.91,8.74,46.47,46.47
7,343,2,0.5967649716246721,0.34727519439549953,0.0,0.5074240151715069,0.888889,0.888889,0.444444,0.444444,0.034091,0.034091,0.413848,0.413848,0.543076,0.543076,0.003171,0.003171,0.322962,0.322962,24.812918,24.812918,13.0,13.0,10.564473,10.564473,654785.04,654785.04,13.392064,13.392064,0.292362,0.292362,0.530379,0.530379,0.015036,0.015036,0.225721,0.225721,35.17,35.17,1212.0,1212.0,24.41,24.41,0.5,0.5,7.91,10.97,46.47,46.47
