model_name,best_cv_rmse,test_rmse,test_mae,test_r2,n_selected_features
xgboost,0.31157494133472163,0.30660391864784853,0.2479917204314858,0.2709203078853041,31
random_forest,0.31226250920840676,0.308389608031108,0.24949525432600647,0.2624031232854742,31
lightgbm,0.3107067849307644,0.3086133144309737,0.2497249175295957,0.26133262684160585,31
catboost,0.3110451468347191,0.3088649250289108,0.24963988179043903,0.26012767362275413,31
mlp,0.3191243840069702,0.31246597216599703,0.24405436453632176,0.24277480191971634,31
